,name,authors,translator,broadcaster,price,publisher,date,language,vol,description,category,cover_loc
10, هیچ دوستی به جز کوهستان,بهروز بوچانی,None,نوید محمدزاده,"۳۶,۰۰۰ ",رادیو گوشه,۱۳۹۹/۰۲/۱۹, فارسی," 577.12 
                        ",«بهروز بوچانی» با انتشار کتاب «هیچ دوستی به جز کوهستان» نشان داد حتی در میان تاریکی زندان، ادبیات راهی برای گریز پیدا می‌کند و مانند گیاهی سر از خاک درمی‌آورد و بارقه‌های امید را در دل انسان ظلم دیده زنده می‌کند.,داستان و رمان ایرانی,https://newcdn.fidibo.com/images/books/98521_28566_normal.jpg
11, جنایت و مکافات,فئودور داستايفسكی‌,اصغر رستگار,آرمان سلطان‌زاده,"۷۴,۰۰۰ ",آوانامه,۱۳۹۷/۰۵/۰۸, فارسی," 1552.02 
                        ",آن‌چه در بالا خواندید بررسی و نقد کتاب صوتی جنایت و مکافات اثر فئودور داستایفسکی بود. خرید و دانلود این اثر در همین صفحه امکان‌پذیر است. برای مطالعه‌ی دیگر کتاب‌ها در زمینه‌ی داستان‌های روسی می‌توانید به قسمت دسته‌بندی کتاب‌ها مراجعه و کتاب‌های این موضوع را یکجا مشاهده کنید.,داستان و رمان روسیه,https://newcdn.fidibo.com/images/books/82169_22179_normal.jpg
12, قمارباز,فئودور داستايفسكی‌,سروش حبیبی,آرمان سلطان‌زاده,"۳۴,۰۰۰ ",آوانامه,۱۳۹۷/۰۵/۰۳, فارسی," 439.54 
                        ",«قمارباز» بیانی از سبک زندگی و مقایسه‌ی بین دوطبقه‌ی بورژوا و اشراف با طبقه‌ی دهقان و مردم پایین‌دست است که به قلم یکی از شاهکارترین نویسندگان تاریخ ادبیات روسیه «فیودور داستایوسکی» به نگارش درآمده است. اشرافی که زمان و سرمایه خودشان را به بطالت و هرزگی می‌گذرانند و به ادب و رفتار اشرافی و بالا مقام تظاهر می‌کنند و این در حالی است که حتی اگر ورشکست هم شوند این رویه را ادامه می‌دهند. ,داستان و رمان روسیه,https://newcdn.fidibo.com/images/books/82077_34092_normal.jpg
13, سينوهه ,میکا والتری,هادی عادل‌پور,آرمان سلطان‌زاده,"۸۱,۰۰۰ ",آوانامه,۱۳۹۸/۰۶/۱۲, فارسی," 1780.93 
                        ",مصر باستان سرزمین شگفت‌انگیزی است که سالیان دراز ذهن متخصصان و باستان‌شناسان را به خود مشغول کرده است. سرزمینی که بسیاری از رازهای آن هنوز هم ناشناخته مانده است و همچنان می‌تواند شگفتی بیافریند. میکا والتاری نویسنده‌ی فنلاندی در کتاب سینوهه پزشک مخصوص فرعون خواننده را به سفری عجیب و باورنکردنی در مصر باستان، جایی پیش از تولد مسیح می‌برد. اگر اندکی به مردم‌شناسی و تاریخ علاقه دارید کتاب سینوهه پزشک مخصوص فرعون انتخاب کم‌نظیری برای مطالعه است.,داستان و رمان سایر کشورها,https://newcdn.fidibo.com/images/books/93490_39523_normal.jpg
14, هری پاتر و سنگ جادو,جی.کی رولینگ,سعید کبریایی,آرمان سلطان‌زاده,"۵۰,۰۰۰ ",آوانامه,۱۳۹۹/۰۱/۰۹, فارسی," 590.49 
                        ","
                                    یکی از ژانرهای پرمخاطب که گروه‌های سنی متفاوت را به خود جذب کرده ژانر فانتزی و تخیلی است که کتاب‌ «هری پاتر» را می‌توان یکی از معروف‌ترین آن‌ها برشمرد. این اثر نام مجموعه‌ای از رمان‌هایی به سبک خیال‌پردازانه به قلم ج. کی. رولینگ است. این مجموعه به شرح ماجراهای یک جادوگر نوجوان به نام هری پاتر به همراه بهترین دوستانش، رون ویزلی و هرمیون گرنجر، در مدرسه‌ی علوم و فنون جادوگری هاگوارتز می‌پردازد که در تلاش است بر جادوگر سیاه غلبه کند. هری پاتر در واقع یک مجموعه با چندین ژانر، ازجمله فانتزی و گذر عمر است که دارای معانی فرهنگی بسیاری می‌باشد. به عبارتی نویسنده این اثر پر مخاطب با نثری روان و ملموس در پی به تصویر کشیدن مفاهیم خیر و شر و ارزش‌هایی چون شجاعت، عشق و وفاداری است. رولینگ در این مورد می‌‎گوید:
«موضوع اصلی داستان مرگ است، همچنین بسیاری از موضوعات دیگر در این سری، مانند عشق و تعصب وجود دارد.»

نکات خواندنی
- ناشران اصلی و اولیه، کتاب‌سرای بلومزبری در انگلستان و انتشارات اسکولاستیک در ایالات متحده بودند.
- در اکتبر ۲۰۱۱، این مجموعه در فرمت‌های مختلف کتاب از طریق «پاترمور» منتشر شد.
- هری پاتر بالاترین مجموعه فیلم پرفروش در تمام دوران شناخته شد.
- سود تجاری هری پاتر بیش از ۱۵ میلیارد دلار است.
- این مجموعه‌ی داستانی به ۷۰ زبان و به‌طور تقریبی در ۴۵۰ میلیون نسخه منتشر شده‌است.
-کتاب‌های هری پاتر از پرفروش‌ترین کتاب‌های تاریخ بشر بوده‌اند.

هری پاتر و سنگ جادو
هری پاتر و سنگ جادو نخستین جلد از مجموعه کتاب‌های هری پاتر است. در این داستان دامبلدور (مدیر مدرسه هاگوارتز) تصمیم می‌گیرد تا سرپرستی هری پاتر یک ساله را به خانواده خاله‌اش بسپارد. هری پاتر در کنار پسرخاله خود (دادلی) رشد می‌کند و مورد آزار و اذیت از جانب وی قرار می‌گیرد. خانواده خاله‌اش از جادو بیزارند و برای برخی از رفتارهای عجیب هری او را آزار می‌دهند و می‌ترسند که هری هم روزی جادوگر شود، برای همین هر گونه رابطه‌ی او با جادوگری را پنهان می‌کنند. تا این که هری نامه پذیرش از مدرسه جادوگری هاگوارتز را دریافت می‌کند و با روبیوس هاگرید شکاربان مدرسه آشنا می‌شود. پس از دیدار با هایدگر، هری پاتر درمی‌یابد که خودش یک جادوگر است و پدر و مادرش نه در تصادف، بلکه توسط جادوگری به نام ولدمورت کشته شده‌اند. مسیر زندگی او تغییر می‌کند و وارد مدرسه هاگوارتز می‌شود و دنیای عجیب و متفاوتی را پیش روی خود می‌بیند. دنیایی جادویی و پر از اتفاقات هیجان‌انگیز...

خالق هری پاتر
خالق پرفروش‌ترین کتاب تاریخ بشر جی. کی. رولینگ در سال ۱۹۶۵ در انگلستان به دنیا آمد. دوران کودکی خوبی را پشت سرگذاشت. بعد از اینکه در رشته ادبیات فرانسه از دانشگاه فارغ‌التحصیل شد در سازمان عفو بین‌الملل به‌عنوان مترجم و منشی مشغول به کار شد. دو سال بعد با یک روزنامه‌نگار پرتغالی آشنا شد. نام او «ژورگه آرانتس» بود. جوآن با آرزو و امید دل به این مرد داد اما زندگی آن‌ها دوام چندانی نداشت و رولینگ با دخترش به ادینبرو اسکاتلند مهاجرت کرد. سلامت روحی و روانی‌اش دچار اختلال شد و بارها دست به خودکشی زد. در همان سال‌ها که با فقر و مشکلات روحی و روانی دست به گریبان بود شروع به نگارش کتاب هری‌پاتر کرد و در حال حاضر وی یکی از ثروتمندترین زنان دنیا است.                                                                    ",داستان و رمان آمریکا,https://newcdn.fidibo.com/images/books/97631_40665_normal.jpg
15, مردی به نام اوه,فردریک بکمن,الناز فرحناکیان,سمانه شیرخانی,"۲۵,۰۰۰ ", نون,۱۳۹۶/۰۳/۱۰, فارسی," 667.48 
                        ",هفته‌نامه معتبر اشپیگل در معرفی کتاب «مردی به نام اوه» نوشته است: «کسی که از این رمان خوشش نیاید، بهتر است اصلاً هیچ کتابی نخواند.»,داستان و رمان سایر کشورها,https://newcdn.fidibo.com/images/books/78049_53079_normal.jpg
16, آخرین روز یک محکوم به اعدام,ویکتور هوگو,None,رضا عمرانی,None,ماه آوا,۱۳۹۶/۱۱/۰۱, فارسی," 18.07 
                        ",«ویکتور هوگو» روزی در خیابان جمعیتی را می‌بیند که برای تماشای مراسم اعدام یک محکوم به مرگ تجمع کرده بودند. هوگو از فکر این که گردن انسانی را در ملأعام با گیوتین بزنند و جماعتی هم جمع شوند و چنین منظره‌ی هولناکی را باهیجان تماشا کنند، به خود لرزید. این اولین باری نبود که این نویسنده و اندیشمند بزرگ شاهد چنین صحنه‌های دلخراش و غیرانسانی بود. پس از این ماجرا بود که شروع به نوشتن کتاب «آخرین روز یک محکوم» کرد. او در این کتاب به‌وضوح اعتراضش را به اعدام انسان‌ها اعلام کرده و خواستار لغو این حکم بی‌رحمانه است. دردناک این بود که این حکم فقط مربوط به قتل و جنایت نمی‌شد؛ حتی در برخورد با کوچک‌ترین جرایم و خطاها هم به‌آسانی گردن انسان‌ها را می‌زدند. در ادامه‌ی این کتاب، داستان دیگری به نام «کلود بی‌نوا» آمده، که آن هم درون‌مایه‌ی مشابهی با اعتراضات ضدگیوتین هوگو دارد. هوگو ابتدا این کتاب را بدون نام و امضا منتشر کرد. اما سه سال بعد خطابه‌ای طولانی برای آن نوشت و با نام و امضای خودش، آن را مجددا منتشر کرد. ,کتاب‌های رایگان ,https://newcdn.fidibo.com/images/books/82352_55576_normal.jpg
17, هزار خورشید تابان,خالد حسینی,مهدی غبرائی‌,رضا عمرانی,"۳۰,۰۰۰ ",ماه آوا,۱۳۹۶/۰۲/۰۱, فارسی," 809.82 
                        ","
                                    خالد حسینی در این اثر درخشان و اثرگذار زبان گویای مردم ستم‌دیده کشورش (افغانستان) می‌شود و به موازات روایت تاریخ اجتماعی پنجاه سال اخیر سرزمینش، داستان زندگی دو زن (مریم و لیلا) را پیش می‌برد. فقر، دربه دری، خشونت، جنگ‌های بی‌وقفه و مخرب و مهم‌تر از همه رنج زن بودن در چنین شرایطی به زیبایی در این رمان تصویر شده است. لیلا و مریم علیرغم تجربیاتی تلخ و دردناک همچنان و با تمام وجود برای رسیدن به زندگی بهتر و گرم نگه داشتن تنور عشق از پا نمی‌نشینند.                                                                    ",داستان و رمان سایر کشورها,https://newcdn.fidibo.com/images/books/79891_11490_normal.jpg
18, سقوط,آلبر  کامو,آناهیتا تدین,بهرام ابراهیمی,"۱۰,۰۰۰ ",ماه آوا,۱۳۹۷/۰۷/۱۵, فارسی," 254.32 
                        ","
                                    سقوط نام کتابی است از آلبر کامو، نویسندهٔ مشهور فرانسوی. این کتاب که نخست در سال ۱۹۵۶ منتشر شد، رمانی است فلسفی که از زبان ژان باتیست کلمانس که وکیل بوده و اینک خود را «قاضی توبه‌کار» می‌خواند روایت می‌شود. او داستان زندگی‌اش را برای غریبه‌ای اعتراف می‌کند.                                                                    ",داستان و رمان سایر کشورها,https://newcdn.fidibo.com/images/books/84590_40646_normal.jpg
19, هفتاد و سومین نفر,یاسین حجازی,None,بهروز رضوی  ،                                                                                                             حامد بهداد  ،                                                                                                             شهاب حسینی,None,رسانه آفتاب,۱۳۹۹/۰۶/۰۲, فارسی," 92.82 
                        ",در روز عاشورا علی‌رغم خیل عظیمی که از امام حسین(ع) دعوت کرده بودند. فقط هفتاد و دو تن از یارانشان با ایشان ماندند و در راه آزادگی و آزادمردی جان خود را فدا کردند.,داستان و رمان مذهبی,https://newcdn.fidibo.com/images/books/102378_56250_normal.jpg
20, سمفونی مردگان,عباس معروفی‌,None,حسین پاکدل,"۴۳,۰۰۰ ",آوانامه,۱۳۹۷/۰۵/۰۶, فارسی," 787.1 
                        ",از جلو ساعت‌فروشی و ساعت‌سازی درستکار که رد می‌شد به صرافت افتاد لحظه‌ای بایستد و ویترین مغازه را ببیند. شاید هزاران بار در طول عمر از آن جا گذشته بود اما حالا با دقتی خاص به ساعت بزرگ و گرد آقای درستکار نگاه کرد. ساعتی از چوب بلوط، با عقربه‌هایی از چوب توسکا و صفحه برجسته منقوش و شیشه‌ای گرد و محدب که شیشه ویترین هم بود و بین شیشه و صفحه ساعت همیشه ده دوازده ساعت طاقچه‌ای هم قرار داشت. ساعت بسیار زیبایی بود که سال‌ها پیش آقای درستکار آن را ساخته بود، اما بیش از سی سال می‌شد که از کار افتاده بود؛ یعنی از زمانی که قلب آقای درستکار یک لحظه از حرکت باز ایستاد یا شاید از وقتی که ساعت از کار افتاد، قلب هم دیگر نتپید. به هر حال حادثه همزمان رخ داده بود و تنها تفاوتش این بود که قلب آقای درستکار دوباره به کار افتاد و لک و لکی می‌کرد، اما ساعت چنان از حرکت وامانده بود که آقای درستکار با تمام استادی نتوانست به کار بیندازدش. عقربه‌ها درست رأس ساعت پنج و نیم قفل‌شده بود. در ساعت پنج و نیم بعداز ظهر سال ۱۳۲۵ در یک روز گرم تابستان. ,داستان و رمان ایرانی,https://newcdn.fidibo.com/images/books/82114_48808_normal.jpg
21,دختری که رهایش کردیخرید و دانلود    جوجو مویز,جوجو مویز,شیدا رضایی,راضیه هاشمی  ،                                                                                                             رضا عمرانی,"۳۰,۰۰۰ ",ماه آوا,۱۳۹۷/۰۳/۱۵, فارسی," 1018.1 
                        ",عشق و دوست داشتن، تنفر و خشم، تعهد، اعتماد، ترس، وحشت و هزاران حس دیگر که در دوران حیات آن‌ها را تجربه می‌کنیم. فرق داستان زمانی است که این احساسات را در زمان بحران چطور تجربه می‌کنیم. بحران بیماری؟ زلزله؟ آتش سوزی و یا سیل؟ نه بحران به معنای واقعی آن یعنی در جنگ. جنگ جهانی ... . چه فرقی می‌کند شما در جنگ جهانی اول باشید یا جنگ جهانی دوم و یا هرچه، موضوع این است که اگر در حین جنگ، گرسنگی و ترس همچنان به عشقتان پایبند باشید عاشق خواهید بود. از قدیم شنیده‌ایم «شکم گرسنه عشق نمی‌شناسه». وقتی در همین دوران تلخ عاشق بمانیم و پای خواسته‌ی خود بایستیم، می‌شویم استوره و روایت یک داستان عاشقانه. ,داستان و رمان انگلیس,https://newcdn.fidibo.com/images/books/84635_50226_normal.jpg
22, جهنم، بهشت,جومپا لاهیری,امین شیرپور,راضیه هاشمی,None,ماه آوا,۱۳۹۶/۰۴/۰۱, فارسی," 47.85 
                        ",مهاجرت دردناک و غریب است. نوعی کنده‌شدن، رفتن و کنار گذاشتن. آدمی که مهاجرت می‌کند رنج عظیمی را به جان می‌خرد و چیزی درونش برای همیشه تغییر می‌کند. مهاجرت خانه‌ای از انسان می‌گیرد و خانه‌ی جدیدی به او می‌دهد. خانه‌ی جدید شاید زیباتر، پر امکانات‌تر و راحت‌تر باشد، اما عطر و بوی خانه‌‎ی قدیمی را نمی‌‎دهد، خاطرات خانه‌ی قدیمی را ندارد و تا سال‌ها کمی بوی ناآشنایی می‌دهد. جومپا لاهیری نویسنده‌ای هندی آمریکایی است که مهاجرت را در آثارش به زیبایی تصویر کرده است. جهنم- بهشت یکی از آثار لاهیری است که برگی از زندگی مهاجران بنگالی را در آمریکا روایت می‌کند.,None,https://newcdn.fidibo.com/images/books/82359_41204_normal.jpg
23, ماشاالله‌خان در بارگاه هارون‌الرشید,ایرج پزشک‌زاد,None,ایوب آقاخانی,"۳۹,۰۰۰ ",واوخوان,۱۳۹۹/۱۱/۱۹, فارسی," 481.07 
                        ",زبان طنز یکی از ابزارهایی است که در بسیاری از مواقع انسان را برای زدن حرف‌هایش یاری کرده است و نویسندگان متعددی در طول تاریخ این زبان را برای در امان ماندن از گزند سیاسیون به کار گرفته‌اند. یکی از نویسندگان ایرانی که در طنز نویسی بسیار قدرتمند عمل کرده و توانسته است آثاری ماندگار از خود به جا گذارد ایرج پزشکزاد است. او که با دایی جان ناپلئون خنده را روی لب میلیون‌ها ایرانی نشاند این بار در کتاب ماشاالله خان در بارگاه هارون‌الرشید از یک دربان بانک کمک می‌گیرد تا جعفر برمکی را از مرگ نجات دهد. بعضی منتقدان معتقدند داستان سریال قهوه‌تلخ اثر مهران مدیری، نوعی برداشت آزاد از داستان این کتاب است.,داستان و رمان ایرانی,https://newcdn.fidibo.com/images/books/110251_33943_normal.jpg
24, خوشه‌های خشم,جان اشتاین بک,عبدالحسین شریفیان,آرمان سلطان‌زاده,"۶۳,۰۰۰ ",آوانامه,۱۳۹۷/۰۵/۰۸, فارسی," 1304.36 
                        ",آن‌چه در بالا خواندید بررسی و نقد کتاب صوتی خوشه‌های خشم اثر جان اشتاین بک بود. خرید و دانلود این اثر در همین صفحه امکان‌پذیر است. برای مطالعه‌ی دیگر کتاب‌ها در زمینه‌ی رمان و داستان‌های آمریکایی می‌توانید به قسمت دسته‌بندی کتاب‌ها مراجعه و کتاب‌های این موضوع را یکجا مشاهده کنید.,داستان و رمان آمریکا,https://newcdn.fidibo.com/images/books/82180_85385_normal.jpg
25, برادران کارامازوف,فئودور داستايفسكی‌,پرويز شهدی,آرمان سلطان‌زاده,"۱۱۴,۰۰۰ ",آوانامه,۱۳۹۸/۰۹/۰۲, فارسی," 2752.48 
                        ",«بالاتر از همه، به خودت دروغ نگو. مردی که به خود دروغ می‌گوید و به دروغ خود گوش می‌دهد، به نقطه‌ای می‌رسد که نمی‌تواند حقیقت را درون خود یا در اطرافش تشخیص دهد و بنابراین تمام احترام خود را برای خویشتن و دیگران از دست می‌دهد و بدون هیچ احترامی عشق را متوقف می‌کند.»,داستان و رمان روسیه,https://newcdn.fidibo.com/images/books/94900_30020_normal.jpg
26, زندگی در پیش رو,رومن گاری,لیلی گلستان,آزاده صمدی,"۳۲,۰۰۰ ",رادیو گوشه,۱۳۹۹/۱۲/۱۳, فارسی," 634.97 
                        ",جنگ جهانی دوم آواره‌های زیادی را برجا گذاشت و زندگی‌های زیادی را نابود کرد. اثرات این دوران شش‌ساله در سال‌های پس از جنگ بسیار مشهود است و خیلی چیزها بعدازاین دوران هرگز دیگر به شکل اولیه‌اش درنیامد. نویسندگان زیادی دوران پس از جنگ را سوژه‌ی داستان‌هایشان قرار داده‌اند و سعی کرده‌اند اثرات این دوران تاریک را حتی بر متولدین پس از جنگ نشان دهند. رومن گاری نویسنده‌ی کتاب معروف «خداحافظ گاری کوپر» یکی از این نویسنده‌هاست. او در کتاب زندگی در پیش رو، سال‌ها پس از جنگ را به تصویر می‌کشد اما شخصیت‌های داستانش انگار هنوز هم جنگ‌زده‌اند.,داستان و رمان فرانسه,https://newcdn.fidibo.com/images/books/111217_81360_normal.jpg
27, عقاید یک دلقک,هاینریش بل,سارنگ ملکوتی,آرمان سلطان‌زاده,"۳۶,۰۰۰ ",آوانامه,۱۳۹۵/۱۰/۱۵, فارسی," 527.22 
                        ",در قرون‌ وسطی تنها مجانین و افراد متظاهر به دیوانگی می‌توانستند نقد اجتماعی کنند و حرفی خلاف شرع و عرف بزنند؛ زیرا در قالب آدمی مجنون و دیوانه می‌توان جامعه‌ای پرتعصب را به کنکاش کشید و حقیقت را به زبان آورد. «هاینریش بل» با این زاویه دید سنت کهن انتقاد اجتماعی در ادبیات قرون‌وسطا را دست‌مایه‌ی خودش قرار داد و کتاب «عقاید یک دلقک» را به نگارش درآورد. او با ترسیم شخصیتی دلقک نما ناخرسندی‌هایش نسبت به کلیسا و حکومت حاکم بر جامعه‌ی آلمان را نقد کرد و اثری خارق‌العاده در عین سادگی آفرید.  ,داستان و رمان آلمان,https://newcdn.fidibo.com/images/books/86104_42858_normal.jpg
28, یک عاشقانه آرام,نادر ابراهیمی,None,پیام دهکردی,"۳۸,۰۰۰ ",نوین کتاب,۱۳۹۶/۰۲/۱۵, فارسی," 695.19 
                        ",«نادر ابراهیمی» می‌نویسد: عاشق، بهانه نمی‌‌گیرد. عاشق، نق نمی‌زند. عاشق، در باب زندگی، سخت نمی‌گیرد. تخم‌مرغ تازه‌ی پخته، عطر ماندگاری دارد. عاشق، به نان خالی و ظرف پر از محبت راضی است.,داستان و رمان ایرانی,https://newcdn.fidibo.com/images/books/67255_73597_normal.jpg
