,name,authors,translator,broadcaster,price,publisher,date,language,vol,description,category,cover_loc
10,پادکست پاپریکا - پرویز یشایایی  - اپیزود ۱۰,پاپریکا,None,طه حسینی نژاد,None,پاپریکا,۱۳۹۷/۰۶/۲۶, فارسی," 0 
                        ","
                                    پرویز یشایایی تهیه کننده سینما مهمان این اپیزود پادکست پاپریکا است. یشایایی تهیه کننده فیلم‌های مثل ناخدا خورشید، اجاره نشین‌ها، هامون و هنرپیشه است. او با کارگردانان صاحب نامی مثل داریوش مهرجویی، ناصر تقوایی و محسن مخملباف کار کرده است.                                                                    ",پاپریکا,https://newcdn.fidibo.com/images/books/83470_95395_normal.jpg
11,پادکست نیمه شب,نیمه شب,None,مهدی خدادادی,None,نیمه شب,۱۳۹۷/۱۱/۰۸, فارسی," 24.07 
                        ","
                                    در این قسمت به جنبه‌های فنی و هنری وال ایی پرداخته شده، بررسی می‌کنیم که چرا این انیمیشن یکی از بهترین انیمیشن‌های تاریخه و تحلیلی روی تمام شخصیت‌هاش داشتیم، و نگاهی به ارجاعات و نمادهای وال ایی کردیم.

بخش ویژه این قسمت بیان تفاوت‌های بین جنس و جنسیته و ارتباط اون‌ها با دنیای ربات‌ها و وال ایی                                                                    ",نیمه شب,https://newcdn.fidibo.com/images/books/87046_17291_normal.jpg
12,پادکست ابدیت و یک روز؛  شماره هجده,ابدیت و یک روز,None,حامد صرافی زاده,None,ابدیت و یک روز,۱۳۹۸/۰۲/۲۰, فارسی," 32.02 
                        ","
                                     در هجدهمین قسمت از مجموعه پادکست‌های «ابدیت و یک روز» به سر منزل «فروشنده» اصغر فرهادی رسیده‌‌ایم و دو سه هفته‌ای نیز در اینجا خواهیم ماند. مهمان‌‌های این هفته ما آقایان «علی مصلح حیدر‌‌زاده» (منتقد فیلم و سردبیر وب‌‌سایت «آی سینما») و «یاشار نورایی» (منتقد و مترجم سینمایی و از نویسندگان ماهنامه «مجله فیلم») بعنوان منتقدان موافق و مخالف این اثر در گفتگویی با یکدیگر دلایل همراهی و دوری‌‌شان را از این ساخته مهم و پر‌‌فروش‌‌ترین فیلم تاریخ سینمای ایران (تا به اینجای‌ کار) با ما در‌‌میان گذاشته‌‌اند.                                                                    ",ابدیت و یک روز,https://newcdn.fidibo.com/images/books/80622_82321_normal.jpg
13,پادکست دیج ایمیج - ق,دیج ایمیج,None,امیر یاری,None,دیج ایمیج,۱۳۹۷/۰۵/۲۵, فارسی," 18.23 
                        ","
                                    اسکات ویلسون یکی از معروف‌ترین عکاسان منظره در جهان است که دو سال پیش به یک بیماری کشنده مبتلا شد. امیر یاری در این پادکست فارسی ، درباره اسکات ویلسون و بیماری خاص‌اش می‌گوید. همچنین درباره یک کتاب عکس می‌گوید که اسکات آن را در طی این دوره گذار، عکاسی و چاپ کرد و تاکنون نزدیک به 40 هزار دلار از فروش آن کتاب بدست آورده است. این کتاب Through the Window نام دارد و تمامی عواید آن صرف امور تحقیقاتی شده است.                                                                    ",کانال‌های پادکست,https://newcdn.fidibo.com/images/books/83075_64707_normal.jpg
14, آقای اشمیت کیه,سباستین تیری,شهلا حائری,فرهاد فتحی  ،                                                                                                             میلاد فتوحی  ،                                                                                                             میلاد فروتنیان,"۲۸,۰۰۰ ",نوین کتاب,۱۳۹۸/۰۸/۱۹, فارسی," 73.88 
                        ","
                                    کتاب صوتی «آقای اشمیت کیه؟» کمدی‌ای فرانسوی‌ست که با طنزی نهفته و تلخ از وضعیت جامعه در دنیای مدرن امروز می‌گوید . جامعه‌ای که در آن جبر زندگی اجتماعی به مرور هویت افراد را از آنها می‌گیرد و هویت دیگری را به آنها تحمیل می‌کند.
آقا و خانم قوچی مشغول غذا خوردن هستند که ناگهان زنگ تلفن به صدا در می‌آید و پشت خط کسی سراغ آقای اشمیت را می‌گیرد. اما این زن و شوهر اشتراک تلفن ندارند و خط تلفن آنها قطع است. پس متوجه می‌شوند که در منزل کس دیگری زندگی می‌کنند. اما ظاهراً همه چیز ثابت می کند که آنها واقعاً آقا و خانم اشمیت هستند. خانم و آقای قوچی مبهوت و وحشت‌زده به دنبال اثبات هویت گمشده خود هستند. حقیقت کجاست؟ آقای اشمیت به راستی کیست؟
«آقای اشمیت کیه؟» نوشته سباستین تیری است و با ترجمه شهلا حائری و خوانش جمعی از گویندگان منتشر شده است.                                                                    ",نمایشنامه,https://newcdn.fidibo.com/images/books/94545_52613_normal.jpg
15, دایره‌ی گچی قفقازی,برتولت برشت,حمید سمندریان,شهاب غزالی  ،                                                                                                             علی اشتیاقی  ،                                                                                                             میلاد فتوحی,"۲۸,۰۰۰ ",نوین کتاب,۱۳۹۸/۰۸/۱۴, فارسی," 209.39 
                        ","
                                    دایره گچی قفقازی از مشهورترین نمایشنامه‌های برتولت برشت، نویسنده آلمانی است و حاوی داستانی اخلاقی است که شرح حال دختری رعیت را روایت می‌کند که با نجات دادن یک کودک از طبقه بالای جامعه، نقش مادری بهتر از مادر واقعی را برای او ایفا می‌کند.
این نمایشنامه در سال ۱۹۴۴، هنگامی که برشت در آمریکا ساکن بود به زبان آلمانی نوشته شد و توسط دوست او، اریک بنتلی به انگلیسی ترجمه شد. اولین نمایش آن در سال ۱۹۴۸ در قالب کار دانشجویی در کالج کارلتون واقع در ایالت مینه‌سوتا به روی صحنه رفت.
نمایشنامه دایره گچی قفقازی در قالب یک پیش‌درآمد و پنج صحنه نوشته شده است. عنوان پیش‌درآمد کشمکش بر سر یک دره و عناوین صحنه‌های آن به ترتیب طفل والاگهر، فرار به کوهستان‌های شمالی، در کوهستان‌های شمالی، شرح احوال قاضی، دایره گچی است.

دایره گچی قفقازی با ترجمه حمید سمندریان و خوانش جمعی از گویندکان منتشر شده است.                                                                    ",نمایشنامه,https://newcdn.fidibo.com/images/books/94497_30416_normal.jpg
16,پادکست ابدیت و یک روز؛ شماره نوزده,ابدیت و یک روز,None,حامد صرافی زاده,None,ابدیت و یک روز,۱۳۹۸/۰۲/۲۰, فارسی," 38.09 
                        ","
                                     در نوزدهمین قسمت از مجموعه پادکست‌های «ابدیت و یک روز» در ادامه برنامه قبل همچنان درباره «فروشنده» اصغر فرهادی ‌به گفتگو نشسته‌‌ایم. 
در بخش اول این پادکست منتقدین و نویسندگان سینمایی، خانوم‌ها و آقایان  «آنتونیا شرکا»، «حسین معززی ‌نیا»، «هما توسلی» و «مهرزاد دانش» به ترتیب هرکدام در یک تک گویی نظرات موافق یا مخالفشان را درباره این فیلم و ‌سینمای اصغر فرهادی برای ما بازگو کرده‌اند.
در بخش پایانی نیز شنونده ادامه مناظره آقایان «علی مصلح حیدر‌زاده» و «یاشار ‌نورایی» خواهید بود که درباره چرایی دو قطبی شدن فضای و تاثیرات اجتماعی این فیلم با یکدیگر گفتگو کرده‌اند.‌                                                                    ",ابدیت و یک روز,https://newcdn.fidibo.com/images/books/80623_83072_normal.jpg
17, سایکوسیس ۴:۴۸,سارا کین,عرفان خلاقی,بنفشه جوکار  ،                                                                                                             فروغ حداد  ،                                                                                                             مهران نوروزی,"۲۹,۰۰۰ ",توسعه محتوای لحن دیگر,۱۴۰۰/۱۰/۲۰, فارسی," 170.8 
                        ","
                                    از متن کتاب:

دوجنسه‌ی شکست خورده‌ای که تنها به خودش اعتماد داشت این اتاق رو واقعیتی شلوغ و پرازدحام می‌بینه و برای اینکه هیچ وقت از این کابوس بیدارش نکنن التماس می‌کنه. و آن‌ها همگی آنجا بودند تا آخرینشان و همگی نام مرا می‌دانستند آن گاه که همچون سوسکی می‌گریختم از پس صندلی‌هایشان. به یاد آر نور را و باور دار نور را روشنایی‌ای آنی پیش از شبی ابدی نگذار که فراموش کنم.
خسته‌ام و ناراضی از همه چیز به عنوان یک انسان شکست خورده‌ای تمام عیارم گناهکارم، دارم تقاص پس میدم دوست دارم خودم رو بکشم پیش از این می‌تونستم گریه کنم، اما الآن کارم دیگه از اشک گذشته علاقه‌ام رو به آدم های دیگه از دست داده‌ام نمیتونم تصمیم بگیرم نمی‌تونم بخورم نمی‌تونم بخوابم نمی‌تونم فکر کنم نمی‌تونم غلبه کنم بر تنهایی‌ام، بر ترسم، بر نفرتم، چاق شده‌ام، نمی‌تونم بنویسم، نمی‌تونم عاشق بشم برادرم داره می‌میره، عاشقم داره می‌میره، منم که دارم هردوشون رومی‌کشم. سرریز میشم از مرگ خودم از داروهایی که می‌خورم می‌ترسم...
دوست ندارم بمیرم این قدر از حقیقت میرا بودنم در عذابم که تصمیم دارم خودکشی کنم نمی‌خوام زندگی کنم من به عاشق خوابیده‌ام حسادت می‌کنم و روی این بیهوشی به اجبار داروش رو می‌پوشونم وقتی هم اون از خواب بیدار بشه، به بی‌خوابی شبانه‌ی خیالاتم و به حرف زدن به لطف داروها بدون لکنتم حسادت می‌کنه من امسال از خودم به قصد مرگ استعفا میدم.                                                                    ",نمایشنامه,https://newcdn.fidibo.com/images/books/126331_65585_normal.jpg
18, نما,برنارد پامرنس,احسان کرم‌ویسی,رادمهر کشانی  ،                                                                                                             شادی زراعتی  ،                                                                                                             مهرزاد مشکل گشا,"۲۸,۰۰۰ ",نوین کتاب,۱۳۹۸/۰۶/۱۱, فارسی," 96.46 
                        ","
                                    کتاب صوتی نمایشنامه‌ی «مرد فیل‌نما» نوشته برنارد پامرنس است که با ترجمه احسان کرم‌ویسی و خوانش جمعی از گویندگان منتشر شده.
مرد فیل‌نما مشهورترین نمایشنامه‌ی برنارد پامرنس است که پس از اجرا بلافاصله توجه بسیاری را به خود جلب کرد. نثر موجز و پرقدرت نویسنده در کنار بازی تاثیرگذاری که از آن نمایش شد موجب شدند که جوایز بسیاری از جمله جایزه تونی و حلقه منتقدین نیویورک را از آن خود کند. 
«مرد فیل‌نما» در واقع اقتباسی است از زندگی جوزف مریک که به خاطر رشد بیش از حد غدد گوشتی و استخوان‌های صورتش، ظاهری از ریخت افتاده پیدا کرده بود. و به او لقب مرد فیل‌نما داده بودند. همه‌ی آرزویش داشتن یک زندگی کاملاً معمولی بود. او رویاهای بسیار ساده‌ای در سر داشت. خودش می‌گفت در سرش آن‌قدر رویا جمع شده که می‌ترسد روزی بار سنگین آن‌ها گردنش را بشکند و همین‌طور هم شد. زندگی کوتاه و دردناک اون بن‌مایه‌ای بوده برای نمایش چیستی زشتی و زیبایی انسان و اینکه سیرت آدمی در این دنیای پر از صورتک‌ها چه اهمیتی دارد. 
زبانی که در این نمایشنامه استفاده شده عاریت‌گرفته شده از دوره‌ی ویکتوریایی انگلستان است. یعنی همان دوره‌ای که .قایع این داستان اتفاق می‌افتند. زبانی که چارلز دیکنز در رمان‌ها و اسکار وایلد در نمایشنامه‌هایش استفاده کردند و به آن غنا و وسعت بخشیدند.                                                                    ",نمایشنامه,https://newcdn.fidibo.com/images/books/93155_30630_normal.jpg
19,پادکست ابدیت و یک روز - شماره نود و یک - حقیقت و مرد دانا,ابدیت و یک روز,None,حامد صرافی زاده,None,ابدیت و یک روز,۱۳۹۸/۰۵/۰۳, فارسی," 13.65 
                        ","
                                    پنجم دی ماه سال ۱۳۹۷، «بهرام بیضایی» نمایشنامه‌نویس و کارگردان تاتر، سینماگر، ادیب و پژوهش‌گر نامی و فرزانه ایران سالروز هشتاد سالگی‌اش را جشن خواهد گرفت. به همین مناسبت و پاس بیش از شش دهه تلاش‌ها و تجربه‌ها و پژوهش‌های او و خلق آثار نوشتاری و نمایشی و ساخت و اجرای فیلم‌ها و نمایشنامه‌هایی ژرف و جاودان و افزودن و سرشار نمودن ادب و هنر و فرهنگ معاصر ایران، در مجموعه پادکست‌هایی ویژه شامل گفت‌وگو‌هایی با همکاران و صاحب‌نظران و دوستان او در حد خودمان در «ابدیت و یک روز» به بزرگداشت او کوشیده‌ایم.

لازم به ذکر است که به دلیل کثرت مهمان‌‌ها و تنوع سابقه و سن ایشان ساده‌ترین راه را برای ترتیب پخش گفت‌وگو‌ها در نظر گرفتیم  و صحبت‌های این بزرگواران را به ترتیب حروف الفبای ابتدای نام خانوادگی ایشان خواهید شنید.

مهمان این برنامه ما، آقای «آیدین آغداشلو»، نقاش، تصویرگر، گرافیست، نویسنده، و سینما‌دوست صاحب‌‌سبک ایران و از دوستان نزدیک بهرام بیضایی برای ما درباره این هنرمند بزرگ و مراودات فکری و همکاری‌هایشان با ایشان (طراحی جلد برخی از کتاب‌های او) صحبت کرده‌اند.                                                                    ",ابدیت و یک روز,https://newcdn.fidibo.com/images/books/86265_10950_normal.jpg
