,name,authors,translator,price,publisher,price_printed,date,language,vol,pages,isbn,description,category,cover_loc
10,افشای واتیکان,پل ویلیامز,ایوب باقرزاده,None, امیدفردا," ۱۵,۰۰۰ ",۱۳۹۲/۱۰/۱۵, فارسی," 2.01 
                        "," ۳۲۰ 
                            ",964-8698-19-8,"
                                    در این کتاب سعی شده روابط پنهان دولت مذهبی واتیکان، اعم از ارتباط با مافیا، نفوذ سیاستمداران در واتیکان، ثروت‌اندوزی، پاپ سالاری و نظایر آن- شناسایی شود. برای مثال، در کتاب تصریح می‌شود که رابطه‌ی بین مافیای سیسیل با سازمان مالی واتیکان هم‌چنان بدون وارد شدن خدشه‌ای ادامه دارد. حکومت ""جان‌پل دوم"" نه از رفورم‌های شرقی ""جان بیست و سوم"" و ""پل ششم"" تبعیت کرده، و نه طریق مرسوم را که همانا پرداختن به وظایف کاتولیکی باشد پیش گرفته است، بلکه در راه تثبیت موقعیت واتیکان ب عنوان نهادهای مالی و سیاسی قدو برداشته است. هدف اولیه‌ی این نهاد، نشر حقیقت و اصول اخلاقی در این عصر (که عصر شک و تردیدهاست) نیست، بلکه تداوم بخشیدن به حفظ منابع دنیوی توسط دسیسه، گدایی، دزدی و چنان‌چه ایجاب نماید خون‌ریزی است.                                                                    ", تاریخ جهان,https://newcdn.fidibo.com/images/books/2225_21468_normal.jpg
11,ایران بین دو انقلاب,یرواند آبراهامیان,احمد گل‌محمدی‌  ،                                                                                                             محمد ابراهیم فتاحی,"۷۸,۰۰۰ ", نی," ۱۳۰,۰۰۰ ",۱۳۹۵/۱۰/۱۵, فارسی," 7.21 
                        "," ۷۰۹ 
                            ",978-964-312-363-5,اهمیت تاریخ آنقدر در درک ما از محیط و شرایط جامعه‌ای که در آن زندگی می‌کنیم آنقدر مهم است که «گوته»، ادیب و فیلسوف آلمانی در این باره می‌گوید:«کسی که از سه هزار سال بهره نگیرد، تنگدست به سر می‌برد.» اتفاق‌های سیاسی، اجتماعی و اقتصادی در طول  هر دوره از تاریخ، بر زندگی نسل‌های بعد بسیار تاثیرگذار است. ,تاریخ معاصر,https://newcdn.fidibo.com/images/books/66642_10116_normal.jpg
12,تاریخ هنر,ارنست گامبریچ,علی رامین,"۱۴۰,۰۰۰ ", نی," ۳۵۰,۰۰۰ ",۱۳۹۶/۱۰/۱۵, فارسی," 45.81 
                        "," ۶۸۸ 
                            ",978-964-312-470-0,«نیل مک گرگور»، رئیس گالری ملی لندن گفته است: «شیوه‌ی اندیشیدن من درباره‌ی تابلوهای نقاشی، مانند دیگر مورخان هم نسل من، تا حد زیادی تحت تأثیر آثار گامبریچ شکل گرفته است. من نیز مانند میلیون‌ها انسان دیگر، کتاب تاریخ هنر را خوانده‌ام و آن را چونان نقشه کشوری بزرگ و پهناور می‌دانم که به کمک آن می‌توان با اعتمادبه‌نفس و تکیه‌بر خویش، ناشناخته‌ها را کشف کرد و در راه‌های ناپیموده گام نهاد.», تاریخ جهان,https://newcdn.fidibo.com/images/books/98869_23610_normal.jpg
13,سرگذشت فلسفه,براین مگی,حسن کامشاد,"۹۶,۰۰۰ ", نی," ۲۴۰,۰۰۰ ",۱۳۹۴/۱۰/۱۵, فارسی," 116.68 
                        "," ۲۴۰ 
                            ",978-964-312-834-0,"
                                    پروفسور براین مَگی ۲۵۰۰ سال فلسفه‌ی غرب را، از یونان باستان تا اندیشمندان جدید، پی می‌گیرد. در سایه‌ی دریافت عمیق او از فلسفه و پیچیدگی‌های آن، کتابی در دست دارید که هم برای خواننده‌ی عادی قابل فهم است و هم خواننده‌ی آشنا با فلسفه از آن لذت می‌برد.
فلسفه چیست؟
فلاسفه اصول بنیادین شناخت و وجود را مورد پرس‌وجو قرار داده‌اند؛ سؤالاتی مانند «هستی چیست؟» و «آیا وجود خدا را می‌توان ثابت کرد؟» ازجمله موضوع‌هایی است که در این کتاب درباره‌شان بحث شده است. براین مَگی به سراغ همه‌ی فیلسوفان نامدار، از افلاطون تا پوپر، می‌رود و ازجمله به قدیس اوگوستینوس، لاک، نیچه و… می‌پردازد. او به این ترتیب با بیانی روشن ما را وارد جهان اندیشه‌ها می‌کند.
سرگذشت فلسفه، اثری است مصور و سرشار از نکات هوشمندانه درباره‌ی بحث‌های جذاب فلسفی؛ کتاب راهنمایی است که خواندنش برای همه‌ی دوستداران فلسفه ضرورت دارد.
این نوشته‌ی سلیس و جامعِ پروفسور براین مَگی، فیلسوف، نویسنده و مصاحبه‌گر نامی، هم به کار پژوهندگان فلسفه می‌آید هم به کار آنان که تازه پا به عرصه‌ی فلسفه نهاده‌اند.
این کتاب مباحث اصلی فلسفه را شرح می‌دهد، پرسش‌های مهم فلسفی را به‌دقت بررسی می‌کند، و به تحلیل آثار عمده‌ی فیلسوفان بزرگ می‌پردازد.                                                                    ", تاریخ جهان,https://newcdn.fidibo.com/images/books/94951_45859_normal.jpg
14,حماسه حسینی,"
 
                                                                                            
مرتضی مطهری ",None,"۱۹,۰۰۰ ",صدرا," ۹۸,۰۰۰ ",۱۳۷۷/۱۰/۱۵, فارسی," 3.14 
                        "," ۴۴۶ 
                            ",964-5600-00-6,واقعه‌ی عاشورا با ریشه، تفکر و فرهنگ ما گره خورده است و اهمیت فراوانی برای شیعیان دارد. تحلیل و برداشت از این حادثه کار آسانی نیست؛ چرا که در عین سادگی و صراحت، پیچیدگی‌های فراوانی دارد که ممکن است قضاوت انسان‌ها را به افراط و تفریط ختم کند. برای رسیدن به درک درست از این حادثه‌ی تاریخی و تاثیرگذار نیاز است تا بررسی‌های دقیق و جامعی در اختیار مردم قرار گیرد. مجموعه کتاب حماسه حسینی از مرتضی مطهری یکی از گرانبهاترین آثاری است که می‌تواند مخاطب را به درک و شناخت درستی از عاشورای حسینی برساند.  ,دین و عرفان,https://newcdn.fidibo.com/images/books/66363_43735_normal.jpg
15,مردان و رجزهایشان,"
 
                                                                                            
سید مهدی شجاعی ",None,"۵,۳۰۰ ", کتاب نیستان," ۹,۰۰۰ ",۱۳۹۳/۱۰/۱۵, فارسی," 0.47 
                        "," ۸۷ 
                            ",978-964-337-436-5,"
                                     در اصطلاح، می‌توان رجز را بر شعرهای حماسی‌ای اطلاق کرد که جنگاوران در میدان‌های نبرد می‌خوانده‌اند. معمولاً رجز ابیاتی کوتاه داشته و به صورت ارتجالی و بالبداهه در میدان کارزار سروده می‌شده است. از این رو، گاه خطاهای ادبی و دستوری هم در آن راه می‌یافته است.
رجز نوعی از بحور شعر است، این بحر به سبب نزدیکی اجزا و کسر حروف آن بدین نام خوانده شده است. چون در آغاز آن، دو سبب خفیف (مُسْ + تَفْ) و پس از آن حرکتی خفیف واقع است، آن را رجز نامیده‌اند؛ چرا که در اصل، رجز یعنی آن که مرض در بدن شتر به حرکت افتد و سپس بازایستد. این مرض بدین سان است که ران‌های شتر به هنگام حرکت دچار لرزش و اضطراب گردند و سپس انبساط یابند.                                                                    ",تاریخ,https://newcdn.fidibo.com/images/books/4788_74607_normal.jpg
16,نیایش چرنوبیل,سوتلانا آلکساندرونا الکسیویچ,الهام کامرانی,"۳۹,۰۰۰ ", چشمه," ۷۸,۰۰۰ ",۱۳۹۵/۰۱/۱۵, فارسی," 2.28 
                        "," ۳۴۲ 
                            ",978-600-229-680-1,از زمان پیدایش انسان‌ها روی کره‌ی زمین، سرعت تخریب طبیعت بسیار شتاب گرفته است. آلودگی‌های فسیلی، قطع بی‌رویه‌ی درختان و آلوده‌ کردن منابع آب تنها بخشی از آسیب‌های بشر به محیط زیست بوده است. رفته‌رفته صدمات بشر به حدی افزایش یافت که تهدیدی برای خود انسان‌ها شد. به واقع اگر انسان را بزرگترین تهدید برای طبیعت بنامیم پر بی‌راه نگفته‌ایم. یکی از بزرگترین فجایعی که بشر در آن دست داشته و منجر به نابودی طبیعت و هزاران نفر شده است، حادثه‌ی چرنوبیل است. فاجعه‌ی چرنوبیل باعث تخریب جنگل‌ها، زمین‌های کشاورزی و آلوده شدن منابع آب شد و جان میلیون‌ها انسان را به خطر انداخت. سوتلانا آلکسویچ در کتاب نیایش چرنوبیل به صورت مستند حادثه‌ی چرنوبیل را از زبان شاهدان و حاضرین در صحنه روایت کرده است., تاریخ جهان,https://newcdn.fidibo.com/images/books/91240_62338_normal.jpg
17,رهبران... کورش کبیر,ساموئل ویلارد کرامپتون,سارا هاشمی,"۱۲,۰۰۰ ", ی ققنوس,None,۱۳۹۲/۱۰/۱۵, فارسی," 7.99 
                        "," ۱۰۱ 
                            ",978-964-311-907-2,"
                                     کوروش یکی از بزرگ‌ترین فاتحان و یکی از هوشمندترین فرمانروایان جهان باستان بوده است. او از معدود مردانی بود که شیوه ‌های پیشرفته ‌ی نبرد و سیاست‌های داهیانه را در هم آمیخت. حتی امروز نیز ایرانیان او را پیشگام، بنیانگذار ملت و نماد بیداری ملی خویش می‌دانند.                                                                    ",تاریخ کهن,https://newcdn.fidibo.com/images/books/1603_71144_normal.jpg
18,تاریخ جهان,ارنست گامبریچ,علی رامین,"۵۸,۰۰۰ ", نی," ۹۸,۰۰۰ ",۱۳۹۵/۱۰/۱۵, فارسی," 6.42 
                        "," ۴۰۴ 
                            ",978-964-185-127-1,آنچه در بالا خواندید نقد و بررسی کتاب تاریخ جهان اثر ارنست گامبریچ ترجمه علی رامین بود. خرید و دانلود كتاب الکترونیکی این کتاب از همین صفحه‌ی فیدیبو امکان‌پذیر است., تاریخ جهان,https://newcdn.fidibo.com/images/books/66813_39861_normal.jpg
19,آزادسازی انسان و جهان دراندیشه‌های راهبردی پیامبر,"
 
                                                                                            
ابوالقاسم حسینجانی ",None,None, هزاره ققنوس,None,۱۳۹۳/۱۰/۱۵, فارسی," 0.8 
                        "," ۱۹۱ 
                            ",978-600-286-063-7,"
                                     سرمایه اجتماعی هر جا معه یی همه ی دارایی اقتصادی/ سیاسی / فرهنگی آن جامعه است.
سرمایه ی اجتماعی (social capital) یک جامعه را، می توان مجموعه ی معینی از هنجارها و ارزش های – به ظاهر-غیر رسمی و ارزش های فرهنگی/ فکری/ مذهبی، از قبیلِ دلسوزی، نوع دوستی، انصاف، صداقت، اعتماد، همکاری مُبتنی بر معیارهای مَشترک، تعاون و بُردباری؛ یا اطّلاعات، ایده ها؛ راهنمایی ها، راهبری ها، فُرصت های اقتصادی/ سیاسی / فرهنگی، حمایت های عاطفی، اعتماد سازی، روشنگری و هماهنگی ها و همراهی هایی که کیفیت و کمّیتِ تعاملاتِ اجتماعی یک جامعه را شکل می دهد؛ در شمار آورد.
سرمایه ی اجتماعی یک جامعه، حتّا، می تواند یک هنجارِ غیر رسمی، و یا یک ""تفکر"" و یا ""نگره"" و""دیدگاهِ""رهگشا باشد.                                                                    ",دین و عرفان,https://newcdn.fidibo.com/images/books/5544_46331_normal.jpg
20,صداهایی از چرنوبیل,سوتلانا آلکساندرونا الکسیویچ,حدیث حسینی,"۱۵,۰۰۰ ", کتاب کوله‌پشتی," ۲۰,۰۰۰ ",۱۳۹۴/۱۱/۱۵, فارسی," 2.12 
                        "," ۲۶۴ 
                            ",978-600-7642-81-8,از زمان پیدایش انسان‌ها روی کره‌ی زمین، سرعت تخریب طبیعت بسیار شتاب گرفته است. آلودگی‌های فسیلی، قطع بی‌رویه‌ی درختان و آلوده‌ کردن منابع آب تنها بخشی از آسیب‌های بشر به محیط زیست بوده است. رفته‌رفته صدمات بشر به حدی افزایش یافت که تهدیدی برای خود انسان‌ها شد. به واقع اگر انسان را بزرگترین تهدید برای طبیعت بنامیم پر بی‌راه نگفته‌ایم. یکی از بزرگترین فجایعی که بشر در آن دست داشته و منجر به نابودی طبیعت و هزاران نفر شده است، حادثه‌ی چرنوبیل است. فاجعه‌ی چرنوبیل باعث تخریب جنگل‌ها، زمین‌های کشاورزی و آلوده شدن منابع آب شد و جان میلیون‌ها انسان را به خطر انداخت. سوتلانا آلکسویچ در کتاب صداهایی از چرنوبیل به صورت مستند حادثه‌ی چرنوبیل را از زبان شاهدان و حاضرین در صحنه روایت کرده است.,داستان و رمان سایر کشورها,https://newcdn.fidibo.com/images/books/6026_36789_normal.jpg
21,تاریخ ایران مدرن,یرواند آبراهامیان,محمد ابراهیم فتاحی,"۵۴,۰۰۰ ", نی," ۹۰,۰۰۰ ",۱۳۹۴/۱۰/۱۵, فارسی," 5.04 
                        "," ۳۵۲ 
                            ",978-964-185-126-4,اروپاییان سده نوزدهم عموما پادشاهان قاجار را به چشم نمونه کاملی از «مستبد شرقی» می‌دیدند. اما اقتدار بی‌چون و چرای پادشاهان امری ظاهری بیش نبود. در سخن، شاه مدعی انحصار بر ابزارهای اعمال زور، اداری و دیوانی، مالیه و قضایی بود. کلام او قانونی تلقی می‌شد. عزل و نصب مقامات - اعم از وزرای دربار، حاکمان ولایات، روسای قبایل، روستاها و مناصب پایین‌تر – و همچنین واگذاری یا پس‌گیری سمت‌ها، اعطا یا بازپس‌گیری امتیازات و افتخارات و القاب ویژه در اختیار وی بود. شاه تمام کشور را ملک شخصی خود می‌دانست و می‌توانست مدعی همه اموال و املاک شود. لرد کرزن پس از سفر به مناطق مختلف ایران و با بهره‌گیری فراوان از آرشیو اداره هند (در وزارت امور خارجه بریتانیا)، در نتیجه‌گیری اثر تاریخی‌اش ایران و مسئله ایران، ادعای اغراق‌آمیزی را مطرح می‌کند که شاه عملا «محور گردش تمام کارهای ملک» است و تمام کارهای «قضایی، اجرایی و قانون‌گذاری دولت» را یک‌جا در دست دارد.,تاریخ,https://newcdn.fidibo.com/images/books/67531_94799_normal.jpg
22,کوروش بزرگ,کسینوفون,علی شیعه علی,"۲۳,۰۰۰ ", سبزان," ۷۰,۰۰۰ ",۱۳۸۹/۱۰/۱۵, فارسی," 1.47 
                        "," ۲۱۶ 
                            ",978-600-5033-78-6,در طول تاریخ افراد زیادی بوده‌اند که نام‌‌شان بعد از سالیان سال به نیکی و یا بدی یاد می‌شود. افرادی که تاریخ و دست‌آورد‌های یک ملت، نتیجه‎ی تفکر و تصمیم‌گیری‌های آن‌هاست. ایران پیشینه و افتخار دو‌هزار و پانصد ساله‌ی خود را مدیون چهره‌ای ماندگار به نام کورش است، پادشاه هخامنشی که با نام‌های کورش کبیر، کورش بزرگ و ذوالقرنین شناخته می‌شود.,تاریخ,https://newcdn.fidibo.com/images/books/3553_54249_normal.jpg
23,فتح خون,"
 
                                                                                            
سید مرتضی آوینی ",None,"۱۸,۰۰۰ ", واحه," ۳۶,۰۰۰ ",۱۳۹۵/۰۱/۱۵, فارسی," 0.79 
                        "," ۱۴۴ 
                            ",978-600-91768-1-6,واقعه‌ی کربلا حماسه‌ای پرشکوه و عاشقانه است که با گذشت قرن‌ها از وقوع آن هم‌چنان دل‌های عاشقان جهان را با خود همراه می‌کند و گوشه‌ای از حقیقت انسان و عشق الهی را به آن‌ها می‌نمایاند. پژوهش‌های بسیاری درباره‌ی این واقعه انجام شده، بسیاری تلاش کرده‌اند تا بخشی از مفاهیم عرفانی و عمیق آن را رمزگشایی کنند اما هم‌چنان حق مطلب درباره‌ی آن گفته نشده است. فتح خون از معدود کتابهاست که توانسته  در این راه موفقیتی به دست آورد و بخشی از تجلی عشق در عاشورا را روایت کند.,تاریخ,https://newcdn.fidibo.com/images/books/7152_68983_normal.jpg
