,name,authors,translator,price,publisher,price_printed,date,language,vol,pages,isbn,description,category,cover_loc
10,بریت‌ماری اینجا بود,فردریک بکمن,آذین سرداری,"۱۸,۰۰۰ ", نون,None,۱۳۹۹/۰۸/۰۷, فارسی," 2.49 
                        "," ۳۵۲ 
                            ",978-600-8740-52-0,افراد زیادی در جامعه هستند که سن خود را برای اهمال کاری و به تعویق انداختن کارها بهانه می‌کنند. فرقی نمی‌کند در چند سالگی، همیشه عده‌ای هستند که می‌گویند: «از من گذشته است» یا «دیگر برای این کارها دیر شده است» اما با نگاه به زندگی بعضی از افراد می‌توان به این درک رسید که هیچ‌گاه برای شروع دیر نیست. «بریت ماری» در کتاب «بریت ماری اینجا بود» زنی است که در آستانه‌ی 70 سالگی به دنبال رویاهای خود می‌رود و تسلیم نمی‌شود. خواندن داستان زندگی او امید و انگیزه را در دل زندگی می‌کند.,داستان و رمان فرانسه,https://newcdn.fidibo.com/images/books/65547_27583_normal.jpg
11,زنی در کابین ۱۰,روث ور,زهرا هدایتی,"۲۰,۰۰۰ ", نون," ۵۰,۰۰۰ ",۱۳۹۴/۱۰/۱۵, فارسی," 2.1 
                        "," ۳۵۲ 
                            ",978-600-8740-15-5,"
                                    پرفروش‌ترین کتاب «نیویورک تایمز» و «یو.اس.ای.تودی»
برگزیده لیست تابستانه آمازون
پیشنهاد شده توسط اوپرا وینفری

این کتاب که یادآور آثار آگاتا کریستی است، سفر تفریحی یک خبرنگار زن به نام لو بلک لاک را روایت می‌کند. او قرار است با یک کشتی لوکس سفر تفریحی یک هفته‌ای داشته باشد، اما این کشتی تنها چند کابین دارد که هر کدام آبستن حوادثی بسیار شگفت‌انگیز و گاه غیرقابل باور است...
در قسمتی از کتاب میخوانییم:
سر جایم خشکم زده بود و بدن گرم دلایلا که نفس‌نفس می‌زد را در بغل گرفته بودم و سعی می‌کردم بشنوم.
هیچ.
و بعد یکهو خیالم راحت شد. حتماً دِلایلا زیر تختم قایم شده بود و وقتی به خانه آمدم در اتاق را به رویش بسته بودم. یادم نمی‌آمد که در را بسته باشم، اما ممکن بود وقتی به خانه آمده بودم ناخودآگاه این کار را کرده باشم. راستش چیز زیادی از ایستگاه مترو به بعد یادم نمی‌آمد. در راه خانه که بودم سردردم شروع شده بود و حالا که از وحشتم کم می‌شد، احساس می‌کردم از پایین جمجمه‌ام از سر گرفته می‌شود. واقعاً نباید وسط هفته نوشیدنی می‌خوردم. وقتی بیست سالم بود این کار ایرادی نداشت، اما دیگر مثل قبل نمی‌توانستم از پس خماری بربیایم.
دلایلا در بغلم ناراحت بود، تکان می‌خورد و پنجه‌هایش را در بازوهایم فرو می‌کرد، رهایش کردم و رُبدوشامبرم را پوشیدم و کمربندش را به دور خودم محکم کردم. بعد او را برداشتم تا به درون آشپزخانه پرتابش کنم.
اما وقتی در اتاق را باز کردم، مردی آنجا ایستاده بود.
تلاش برای به یاد آوردن ظاهرش بی‌فایده بود، زیرا حدود بیست‌وپنج بار با پلیس درباره‌اش صحبت کردم و نتیجه‌ای نداشت. مدام می‌پرسیدند: «حتی یه خرده از پوست مچ دستش رو هم ندیدی؟» نه، نه و نه. سوئیشرت گشادی پوشیده بود و دستمالی دور بینی و دهانش بسته بود و همه‌چیز در سایه قرار داشت. به‌جز دستانش.
دستکش لاستیکی پوشیده بود. همین بود که به‌شدت مرا ترساند. دستکش‌ها داد می‌زدند: «کارم رو بلدم.»، یعنی «آماده اومده‌ م.»، یعنی «دنبال چیزی به‌جز پولتم.»
لحظه‌ای طولانی همان‌طور روبه‌روی هم ایستادیم درحالی‌که چشم‌های براقش در چشم‌هایم قفل شده بود.

                                                                    ",داستان و رمان انگلیس,https://newcdn.fidibo.com/images/books/71164_29991_normal.jpg
12,سفر به مرکز زمین,"
 
                                                                                            
ژول ورن ",None,None, آفرینش کتاب الکترونیک فیروزان (فیدیبو),None,۱۳۹۲/۰۶/۲۵, فارسی," 1.12 
                        ","  
                            ",None,در قرن نوزدهم و بیستم میلادی بود که ژانر مورد علاقه‌ی کودکان و نوجوانان که  امروزه به عنوان ژانر«علمی- تخیلی» می‌شناسیم در ادبیات پدید آمد. این سبک که آمیزه‌ای از واقعیت و دنیای خیال است با داستان‌های نویسنده‌ی معروف فرانسوی ژول ورن به اوج خود رسید. ,کتاب‌های رایگان ,https://newcdn.fidibo.com/images/books/2312_29557_normal.jpg
13,شب‌های روشن,فئودور داستايفسكی‌,سروش حبیبی,"۹,۰۰۰ ", ماهی," ۱۵,۰۰۰ ",۱۳۹۴/۰۴/۱۵, فارسی," 0.62 
                        "," ۱۲۶ 
                            ",978-964-209-083-9,"""و شاید تقدیرش چنین بود که لحظه‌ای از عمرش را با تو همدل باشد."" کتاب شب‌های روشن با این جمله از ایوان تورگنیف آغاز می‌شود.",داستان و رمان روسیه,https://newcdn.fidibo.com/images/books/4268_73746_normal.jpg
14,چشم‌هایش,"
 
                                                                                            
 بزرگ علوی ",None,"۲۵,۰۰۰ ", نگاه," ۳۰,۰۰۰ ",۱۳۷۲/۱۰/۱۵, فارسی," 1.48 
                        "," ۲۸۳ 
                            ",978-964-6736-89-7,نیمه‌ی اول قرن چهاردهم شمسی، نقطه‌ی عطف ادبیات داستانی در ایران است. این دوران، دوران بزرگ علوی، صادق چوبک، صادق هدایت و بزرگانی چون ایشان است و شاهکارهای زیادی در این دوران خلق شده‌اند. یکی از این شاهکارها چشمهایشِ بزرگ علوی است. در این شاهکار فضایی عاشقانه در بستری اجتماعی، سیاسی به تصویر کشیده شده و اثری ماندگار را خلق کرده است. ,داستان و رمان ایرانی,https://newcdn.fidibo.com/images/books/927_86386_normal.jpg
15,حماسه ویچر,آنجی سپکوفسکی,سینا طاوسی‌مسرور,"۱۶,۹۰۰ ",آذرباد," ۴۲,۵۰۰ ",۱۳۹۷/۰۴/۱۵, فارسی," 2.25 
                        "," ۴۳۷ 
                            ",978-600-8537-22-9,"
                                    او لحظه‌‌ای جلوی مسافرخانه‌‌ی ناراکورت پیر ایستاد، به صداها گوش فرا داد. طبق معمول، در این ساعت، مسافرخانه شلوغ بود. مرد غریبه داخل نشد. اسبش را به پایین خیابان هدایت کرد، به سمت مسافرخانه‌‌ی کوچک‌تری به ‌نام روباه. این مهمانسرا محبوبیت خاصی نداشت و تقریباً خلوت بود.
صاحب مسافرخانه سرش را از پشت بشکه‌‌ای خیارشور بیرون آورد و غریبه را برانداز کرد. تازه‌‌وارد که هنوز کت بر تنش بود، ساکت و بی‌‌حرکت جلوی پیشخوان ایستاده بود.
- چی بیارم؟
غریبه گفت: «آبجو.» صدایش خوشایند نبود.
مسافرخانه‌‌‌‌‌‌دار دستش را با پیش‌‌بند پارچه‌‌ای پاک کرد و یک لیوان سفالی برایش آورد.
غریبه سن زیادی نداشت؛ اما موهایش تقریباً سفید بود. زیر کتش یک جلیقه‌‌ی کهنه‌‌ی چرمی پوشیده بود که با بند روی گردن و شانه‌‌هایش بسته شده بود. وقتی کتش را درآورد افراد دوروبرش متوجه شدند شمشیری حمل می‌‌کند که البته به‌خودی‌خود موضوع غیرطبیعی‌‌ای نبود، تقریباً هر مردی در ویزیم یک سلاح همراه خود داشت؛ اما هیچ‌کس شمشیرش را مثل یک کمان یا تیردان به پشتش نمی‌‌بست.
غریبه کنار مشتری‌‌های دیگر که پشت یک میز بودند ننشست. همان‌‌جا جلوی پیشخوان ایستاده بود و به مسافرخانه‌‌دار خیره شده بود. هرازگاهی محتویات لیوانش را مَزه‌‌مَزه می‌‌کرد.
- برای شب یه اتاق می‌‌خوام.
مسافرخانه‌‌دار با غرولند گفت: «جا نداریم.» به چکمه‌‌های غریبه نگاه کرد که خاکی و کثیف بودند. «ناراکورت پیر رو امتحان کن.»
- ترجیح می‌‌دم همین‌‌جا بمونم.
«گفتم که جا نداریم.» مسافرخانه‌‌دار بالاخره لهجه‌‌ی غریبه را تشخیص داد، اهل ریویا بود.
«پولش رو می‌‌دم.» تازه‌‌وارد آهسته صحبت می‌‌کرد، انگار که خودش هم مطمئن نبود و بعد اتفاقی که نباید می‌افتاد، افتاد. مرد آبله‌‌روی دیلاقی _ که از لحظه‌‌ی ورود تازه‌‌وارد چشم‌‌ از او برنداشته بود _ بلند شد و سمت پیشخوان آمد. دو رفیقش نیز همراه با او بلند شدند، بافاصله‌ی دو قدمی پشت سرش ایستادند.
مرد آبله‌‌رو درست کنار تازه‌‌وارد ایستاد و با خشونت گفت: «به تو اتاق نمی‌‌دیم، ولگرد ریویایی . در ویزیم به کسایی مثل تو احتیاجی نیست. این شهر آبرو داره!»
غریبه، لیوان در دست قدمی به عقب رفت. نگاهی به مسافرخانه‌‌دار انداخت؛ اما او رویش را برگرداند. حتی به ذهن مسافرخانه‌‌دار نرسید که از مرد ریویایی دفاع کند. به‌هرحال، چه کسی از ریویایی‌‌ها خوشش می‌آمد؟
مرد آبله‌‌رو که نفسش بوی آبجو، سیر و خشم می‌‌داد، ادامه داد: «همه‌‌ی ریویایی‌‌ها دزدن، می‌‌شنوی چی می‌گم، حروم‌‌زاده؟»                                                                    ",نوجوان,https://newcdn.fidibo.com/images/books/82273_97373_normal.jpg
16,چه کسی از دیوانه‌ها نمی‌ترسد,"
 
                                                                                            
مهدی رضایی ",None,None, افکار," ۳,۵۰۰ ",۱۳۸۹/۰۱/۱۵, فارسی," 0.92 
                        "," ۱۳۰ 
                            ",978-964-228-070-4,«من میخواهم صحنه‌هایی را به تو نشان دهم که مثل سیلی به صورتت بخورد. می‌توانی نگاه نکنی، می‌توانی خاموش کنی، می‌توانی هویت خود را پنهان کنی، مثل قاتل‌ها، اما نمی‌توانی جلوی حقیقت را بگیری، هیچ کس نمی‌‎تواند.» این‌ها جملاتی از «کاوه گلستان»، فیلمبردار و خبرنگار ایرانی و پسر «ابراهیم گلستان» است که در آغاز کتاب چه کسی از دیوانه‌ها نمی‌ترسد آمده است. رمان جذابی که مانند تکه‌های یک پازل در هم پیچیده است. مهدی رضایی این رمان را نوشته است و در آن دیوانگی را به تصویر کشیده است. دیوانگی‌ای که از شخصیت اول رمان آغاز می‌شود و به شکل مسری تمام جامعه‌ی اطرافش را در برمی‌گیرد.,کتاب‌های رایگان ,https://newcdn.fidibo.com/images/books/4751_61459_normal.jpg
17,کوری,ژوزه ساراماگو,اسدالله امرایی,"۳۲,۰۰۰ ", مروارید," ۶۴,۰۰۰ ",۱۳۹۳/۰۲/۱۵, فارسی," 1.8 
                        "," ۳۸۸ 
                            ",978-964-6026-70-4,"
                                    ژوزه ساراماگو هفتاد و پنج ساله نویسنده پرتغالی برنده جایزه نوبل ادبیات ۱۹۹۸ را نویسنده‌ای می‌دانند که داستان‌هایش سرشار از رویا و طنز تلخ گزنده است.
ساراماگو در کوری آینه گردان فروپاشی جامعه بشری است که به رغم برخورداری از همه مواهب طبیعی و علمی و فنی در وضعی بغرنج قرار می‌گیرد. نویسنده کوری به حد افراط از تمثیل و استعاره بهره برده است. استفاده از نمادهای اسطوره‌ای و تلمیحات مکرر از کتاب مقدس نشانه بارز تبحر نویسنده است.                                                                    ",داستان و رمان سایر کشورها,https://newcdn.fidibo.com/images/books/1971_78438_normal.jpg
18,سه‌ شنبه‌ها با موری,میچ آلبوم,مهدی قراچه‌داغی,"۱۰,۰۰۰ ", البرز," ۲۵,۰۰۰ ",۱۳۹۴/۰۷/۱۵, فارسی," 1.06 
                        "," ۱۸۴ 
                            ",964-442-255-4,«آخرین کلاس زندگی استاد پیر من هفته‌ای یک‌بار در منزل او تشکیل می‌گردید، در کنار پنجره‌ای در اتاق مطالعه او، تا بتواند ازآنجا بوته کوچک بامیه را با برگ‎‌های صورتی‌رنگش تماشا کند. کلاس روزهای سه‌شنبه و بعد از صرف صبحانه تشکیل می‌شد. موضوع درس ما «معنای زندگی » بود. استاد آنچه را به تجربه می‌دانست، درس می‌داد.» این‌ها جملاتی است که میچ آلبوم کتابش را با آن‌ها آغاز کرده است. سه‌شنبه‌ها با موری کتاب بسیار تأثیرگذار این نویسنده  است که داستان واقعی ارتباط و ملاقات میچ آلبوم با استادش موری شوارتس را روایت می‌کند. میچ آلبوم که نویسنده‌ی کتاب مشهور «اولین تماس تلفنی از بهشت» نیز هست این کتاب را با لحنی روان و زیبا  نوشته است که خواننده را وادار می‌کند همراه میچ آلبوم در جلسات ملاقاتش با موری شرکت کند.,داستان و رمان آمریکا,https://newcdn.fidibo.com/images/books/6431_73423_normal.jpg
19,یک عاشقانه‌ی آرام,"
 
                                                                                            
نادر ابراهیمی ",None,"۳۹,۵۰۰ ", روزبهان," ۷۹,۰۰۰ ",۱۳۹۴/۰۴/۱۵, فارسی," 1.24 
                        "," ۲۷۲ 
                            ",978-964-5529-12-3,None,داستان و رمان ایرانی,https://newcdn.fidibo.com/images/books/4401_80243_normal.jpg
20,سه دختر حوا,الیف شافاک,مریم طباطبائیها,"۲۵,۰۰۰ ", نون," ۷۴,۰۰۰ ",۱۳۹۵/۱۰/۱۵, فارسی," 2.83 
                        "," ۴۵۲ 
                            ",978-600-7141-86-1,دو شهر استانبول و آکسفورد بیشتر از 2500 کیلومتر با هم فاصله دارند. با این وجود الیف شافاک نویسنده‌ی ترک توانسته است در دهمین رمانش این فاصله را به هیچ برساند. شافاک داستان سه دختر حوا را شبیه به وصف یک عکس روایت می‌کند. سه دختر جوان همراه با مردی برای یک عکاس در محوطه‌ی دانشگاه آکسفورد لبخند می‌زنند. عکسی که در طول داستان تبدیل به سرنخی مهم می‌شود.,داستان و رمان ترکیه,https://newcdn.fidibo.com/images/books/86025_63653_normal.jpg
21,خانه‌ای که در آن مرده بودم,کِیگو هیگاشینو,خندان حسینی‌نیا,"۱۸,۰۰۰ ", قطره," ۳۵,۰۰۰ ",۱۳۹۷/۱۰/۱۵, فارسی," 1.48 
                        "," ۲۳۶ 
                            ",978-622-201-037-9,"
                                    ساياکا با نشانه‌هايي که بعد از مرگ پدرش به‌دست آورد، تصميم گرفت به دنبال سؤال‌هايي برود که از کودکي در زندگي پر‌ابهامش با آن‌ها روبه‌رو بود. در اين راه از دوست دوران نوجواني‌اش مي‌خواهد تا همراهي‌اش کند. اين دو با پشت‌کار و کنجکاوي فراوان به نشانه‌هاي پر?‌رمز‌وراز و باورنکردني‌اي در اين مسير بر مي‌خورند و با هم‌فکري يک‌ديگر معماي بزرگ و تلخ زندگي ساياکا را حل مي‌کنند.                                                                    ",داستان و رمان پلیسی,https://newcdn.fidibo.com/images/books/88061_96061_normal.jpg
22,ناتور دشت,جی دی سلینجر,محمد نجفی,"۲۵,۰۰۰ ", نیلا," ۴۲,۰۰۰ ",۱۳۹۳/۰۱/۱۵, فارسی," 1.37 
                        "," ۲۹۶ 
                            ",964-91750-1-6,اگر به فهرست صد کتاب برتر جهان نگاه کنید، در رتبه‌ي هفتادودوم آن نام کتاب ناتور دشت را خواهید دید.کتابی پرطرفدار که هنوز بعد از گذشت شصت سال از اولین انتشار آن در آمریکا، در بین کتابخوان‌های سراسر جهان بسیار محبوب است و به بیش از سي‌وپنج زبان ترجمه شده است. تا به امروز چندین میلیون نسخه از ناتوردشت در سراسر جهان به فروش رفته و در سایت «گودریدز»، سایت معروف کتاب‌خوانی، بیش‌تر از دو میلیون نفر از پنج، به این کتاب امتیاز 3.8 را داده‌اند. این اثر شاخص و محبوب رازی از تنهایی، شکست بیچارگی، موفقیت و خوشبختی را برای بزرگسالان و نوجوانان به زبانی ساده در ژانر رئال روایت می‌کند.,داستان و رمان آمریکا,https://newcdn.fidibo.com/images/books/5043_58386_normal.jpg
23,کوری,ژوزه ساراماگو,زهره روشنفکر,"۱۸,۰۰۰ ",مجید,None,۱۳۹۵/۰۱/۱۵, فارسی," 2.27 
                        "," ۳۹۲ 
                            ",978-964-453-100-2,تصور این‌که به صورت ناگهانی بخش زیادی از جامعه به بیماری مرموزی دچار شوند که درمانی ندارد، بسیار هولناک است. پیش از به نتیجه رسیدن واکسیناسیون و شناسایی داروهای موثر بر درمان کرونا، بسیاری از ما چنین حسی را تجربه کردیم. رمان کوری اثر ژوزه ساراماگو نیز به چنین وضعیتی اشاره دارد، یک بیماری مرموز با علائم عجیب و غریب در سطح شهر پخش می‌شود و بینایی افراد را از بین می‌برد. شیوع این نابینایی با منشائی نامعلوم و ناشناخته اتفاقات نامتعارف و عجیبی را رقم می‌زند که این کتاب فوق العاده به آن‌ها اشاره می‌کند. موضوع کتاب کوری اجتماعی و سیاسی است.,داستان و رمان سایر کشورها,https://newcdn.fidibo.com/images/books/7005_36425_normal.jpg
