,name,authors,translator,price,publisher,price_printed,date,language,vol,pages,isbn,description,category,cover_loc
10,رژیم لاغری کاری ساخته نیست,باب شوارتز,مهدی قراچه‌داغی,"۱۴,۰۰۰ ", قطره,None,۱۳۹۰/۱۰/۱۵, فارسی," 0.9 
                        "," ۱۸۷ 
                            ",978-600-119-317-0,تغذیه سالم منتهی به یک بدن و زندگی سالم می‌شود که در دنیای ماشینی امروز بسیار پراهمیت است. رژیم غذايي هر فرد با توجه به سن، جنسیت و شرایط زندگی‌اش متفاوت است و باید مواد مغذی متفاوتی را برای بدن فرد تامین کند تا سلامت جسمانی و روانی مهیا شود. حال بعضی از افراد به‌دنبال کم کردن وزن‌شان به کمک رژیم‌های غذایی هستند. این دسته از مردم تحت تاثیر کتاب، برنامه‌های تلویزیونی و ستارگان زیبایی ممکن است هر لحظه یک برنامه‌ی غذایی را دنبال کنند که این موضوع می‌تواند آسیب‌زا باشد. باب شوارتس، متخصص امور سلامتی و مراقبتی درباره‌ی تاثیر رژیم غذایی و راه درست لاغر شدن در کتاب از رژیم لاغری کاری ساخته نیست سخن می‌گوید و تجربیاتش را با خوانندگان کتابش در میان می‌گذارد.,سلامت و رژیم درمانی,https://newcdn.fidibo.com/images/books/1662_44628_normal.jpg
11,کودک، خانواده، انسان,"ادل فيبر  ،                                                                                             
ايلين مزليش",گيتی ناصحی,"۳۵,۰۰۰ ", نی," ۵۸,۰۰۰ ",۱۳۹۳/۱۰/۱۵, فارسی," 1.85 
                        "," ۲۳۶ 
                            ",964-312-014-7,همه‌ی ما به دنبال داشتن خانواده ای شاد و آرام هستیم اما بعد از بچه دار شدن ممکن است همه چیز ناگهان عوض شود و اتفاقت غیر منتظره شرایط زندگی را عوض کند؛ اما درست در همین مرحله است که به عنوان والدین میتوانیم اهداف خود را دنبال کنیم و تبدیل به والدینی شویم که به خوبی از پس فرزند خود بر می آیند و با رفتارهای درست و منطقی نه تنها ه احساسات کودک احترام میگذارند بلکه می‌توانند اصول زندگی را به او یاد دهند. در مسیر فرزند پروری تجربیات افراد کنار نظریه های متخصصین میتواند راهگشایی مشکلات باشد و تجربه ی بی نظیری را برای هر پدر و مادری رقم بزند.,خانواده,https://newcdn.fidibo.com/images/books/6389_53364_normal.jpg
12,مردان مریخی و زنان ونوسی,جان گری,مهیا محمدی,"۱۵,۰۰۰ ", شبگیر," ۳۰,۰۰۰ ",۱۳۹۳/۱۰/۱۵, فارسی," 2.14 
                        "," ۳۳۶ 
                            ",978-600-6774-13-8,«مردها به اشتباه انتظار دارند زن‌ها مثل آن‌ها رفتار کنند، مثل آن‌ها احساس کنند، مثل آن‌ها بیاندیشند و مثل آن‌ها ارتباط برقرار کنند. به همین ترتیب، زن‌ها به اشتباه انتظار دارند مردها مثل آن‌ها احساس کنند، رفتار کنند، و بیندیشند. ما همگی از یاد برده‌ایم که مردها و زن‌ها از اساس با یکدیگر فرق دارند و به همین خاطر همواره با یکدیگر به تضاد می‌رسیم.»  جان گری نویسنده این جملات و  نویسنده‌ی کتاب مردان مریخی و زنان ونوسی معقتد است تفاوت‌های مردان و زنان آن‌قدر زیاد است که گویی هر یک از سیاره‌ای متفاوت آمده‌اند.,سبک زندگی,https://newcdn.fidibo.com/images/books/3957_51224_normal.jpg
13,کافه‌ای به نام چرا,جان پی. استرلکی,امیرحسن مکی,"۱۵,۰۰۰ ", لیوسا," ۲۳,۰۰۰ ",۱۳۹۴/۰۱/۱۵, فارسی," 0.59 
                        "," ۱۱۲ 
                            ",978-600-5138-11-5,کتاب کافه‌ای به نام چرا اولین کتاب استرلکی است که در سال 2002 به چاپ رسید. استرلکی اولین چاپ این کتاب را خودش به چاپ رساند. این کتاب موفقیت بسیاری در بیست و چهار کشور دنیا کسب کرد و توانست در مدت یک سال بیش از ده هزار نسخه به فروش برساند. این کتاب در کشور‌های اتحادیه‌ی اروپا در ردیف پرفروش‌ترین کتاب سال 2018 برای هفته‌های متوالی قرار داشت. نام اولیه‌ی این کتاب چرا اینجا هستید بود که در چاپ‌های بعدی به کافه‌ای به نام چرا تغییر نام داد.,سبک زندگی,https://newcdn.fidibo.com/images/books/6019_59998_normal.jpg
14,تاملات,ماركوس اورليوس,عرفان ثابتی,"۱۹,۰۰۰ ", ی ققنوس," ۲۱,۰۰۰ ",۱۳۹۵/۰۱/۱۵, فارسی," 1.01 
                        "," ۱۵۸ 
                            ",978-964-311-610-1,هرگاه سخن از زندگی پادشاهان باشد، پیروزی‌ها و شکست‌هایشان، به قدرت رسیدن و افولشان به خاطر می‌آید. در برخی دیگر از قصه‌های پادشاهان نیز نقاط اوج و فرود حکومت یا وفاداری و خیانت‌های اطرافیانشان به تصویر کشیده شده است. فرمانروایان در بیشتر داستان‌ها چهره‌ی منفی از خود نشان‌ می‌دهند و در تقابل با مردم عمل می‌کردند اما پادشاهانی نیز هستند که در طول تاریخ برخلاف سنت پادشاهان رفتار کردند و از آن‌ها همواره به نیکی یاد می‌شود.,عرفان,https://newcdn.fidibo.com/images/books/65615_27568_normal.jpg
15,رک و راست؛چگونه مرد مورد علاقه‌مان را انتخاب کنیم,استیو هاروی,رویا ملایری,"۳,۳۰۰ ", البرز," ۵,۵۰۰ ",۱۳۹۰/۰۱/۱۵, فارسی," 1.3 
                        "," ۲۴۰ 
                            ",978-964-442-757-2,مفهوم ازدواج برای زنان با مردان تفاوت دارد. در واقع می‌توان این‌طور گفت که هر فردی به ازدواج به شکلی متفاوت نگاه می‌کند و وارد شدن در یک رابطه‌ی جدید یا ماندن در رابطه‌ی فعلی برای افراد دلایل متفاوتی دارد؛ اما ازآنجایی‌که زنان در تصمیم‌گیری‌ها و انتخاب‌های خود معمولاً احساسی‌تر عمل می‌کنند گاهی از سوی مردان طرد می‌شوند. در حقیقت سؤال بسیاری از خانم‌ها درباره‌ی روابط خود با مردان در درجه‌ی اول این است که چطور می‌توانند این رابطه را حفظ کنند. استیو هاروی سال‌هاست که با زنان زیادی در برنامه‌های تلوزیونی و رادیویی صحبت کرده و همچنین به کشورهای مختلفی سفر کرده و از دغدغه‌هایی که بیشتر زنان دارند پرسیده است. هاروی کتاب‌های متفاوتی درباره‌ی ویژگی‌های زنان و مردان نوشته است. کتاب‌هایی که بیشتر مخاطبان آن‌ها زنان هستند. او در کتاب رک و راست به این سوال که چگونه مرد مورد علاقه‌مان را انتخاب کنیم، حفظ کنیم و درک کنیم پاسخ می‌دهد.,خانواده,https://newcdn.fidibo.com/images/books/6148_78775_normal.jpg
16,۳۰ سالگی,"الن جکسون  ،                                                                                             
شیلا پانچال",سرور هاشمی تهرانی,"۱۰,۰۰۰ ", روشنگران و مطالعات زنان," ۳۰,۰۰۰ ",۱۳۸۶/۰۱/۱۵, فارسی," 1.84 
                        "," ۲۴۰ 
                            ",964-96469-6-5, ,سبک زندگی,https://newcdn.fidibo.com/images/books/5847_81128_normal.jpg
17,واکسیناسیون روانی کودک,"
 
                                                                                            
حسام فیروزی ",None,"۱۵,۰۰۰ ", نگاه," ۴۸,۰۰۰ ",۱۳۹۳/۰۳/۱۵, فارسی," 4.37 
                        "," ۲۰۳ 
                            ",978-964-351-896-7,کتاب «واکسیناسیون روانی کودک» اثری پربار و ارزشمند از «حسام فیروزی» است. او در این کتاب توانسته با ابداع روشی جدید در دنیای تربیت و پرورش کودکان، تاثیر زیادی روی کیفیت زندگی کودکان و والدین آن‌ها بگذارد. کتاب واکسیناسیون روانی کودک در سال 92 در انتشارات نگاه منتشر شده است.,سبک زندگی,https://newcdn.fidibo.com/images/books/2050_44377_normal.jpg
18,سفر استانبول,"
 
                                                                                            
تحریریه علی‌بابا (پانته‌آ غلامی) ",None,None,شرکت سفرهای علی بابا,None,۱۳۹۹/۰۸/۰۱, فارسی," 80.63 
                        "," ۱۰۲۳ 
                            ",None,"
                                    اولین کتاب سفر را به استانبول اختصاص دادیم، چون مقصد سفر تعداد زیادی از هموطنان است. از همه مهمتر اینکه استانبول مقصد اولین سفر خارجی خیلی از ایرانیهاست. معمولا کم‌تجربگی در اولین سفر خارجی می‌تواند باعث سردرگمی و اتلاف وقت و هزینه شود.
نگارش کتاب سفر استانبول از ۱۶ فروردین ماه شروع شد و اواسط مرداد ماه به پایان رسید. برای نگارش این کتاب سراغ منابع مختلفی رفتیم؛ از وبسایتهای اینترنتی گرفته تا تجربه شخصی خودمان و سایر مسافران پیشین و حتی ساکنین شهر استانبول. تمام تلاشمان را کردیم که محتوایی به‌روز، صادقانه و بی‌طرف آماده کنیم. مثل یک راهنمای دلسوز کنارتان باشیم تا حتی در اولین تجربه سفر، مثل یک مسافر باتجربه عمل کنید. هرچند اظلاعات این کتاب هم برای سفراولی‌ها کاربرد دارد، هم برای مسافرهای حرفه‌ای.همه این موارد باعث شد تا کاملترین کتاب سفر استانبول به زبان فارسی نزدیک به ۱۲۰۰ صفحه شود. وحشت نکنید! این یک کتاب مرجع است و الزام نیست از اول تا آخر آن را بخوانید. استودیوی دیزاین علی‌بابا بیش از ۲ماه روی طراحی بخشهای مختلف کتاب زمان گذاشت تا تجربه استفاده از آن برایتان خوشایند باشد. شما به راحتی می‌توانید بین بخش‌های مختلف کتاب حرکت کنید و مستقیم بروید سر مطلبی که در هر لحظه به آن نیاز دارید. خوشبختانه این کتاب، دیجیتال است؛ نه وزن چمدانتان را سنگین میکند و نه جایی میگیرد؛ مهمتر از همه اینکه قرار نیست درختی به خاطر چاپ آن از زندگی ساقط شود! راستی حتما راهنمای استفاده از کتاب را بخوانید تا بتوانید از همه قابلیت‌های کتاب به خوبی استفاده کنید.
استانبول، شهری برای همه
به استانبول خوش آمدید!
استانبول از دیروز تا امروز

برنامه‌ریزی قبل از سفر 
آب‌وهوای استانبول 
بهترین زمان سفر 
راه‌های سفر به استانبول
برآورد هزینه سفر
خرید و تبدیل ارز 
معرفی هتل‌ها 
بیمه سفر 
سفر با کودکان 
سفر معلولین و افراد کم‌توان
چک لیست سفر
خرید سیم‌کارت
تفریحات رایگان 
اپلیکیشن‌های کاربردی

گشت و گذار 
موزه‌ها و آثار تاریخی 
محله‌های توریستی
جزیره‌های تفریحی 
پارک‌ها و فضا‌های عمومی 

خرید و بازارگردی 
مراکز خرید
فروشگاه‌های اوت‌لت
راسته‌های خرید
بازارهای سنتی
بازارهای محلی یا هفتگی

خورد و خوراک
کافه‌ها 
رستوران‌ها
تنقلات

 بازی و سرگرمی
شهربازی‌ها 
مراکز تفریحی 
پارک‌های آبی 
ساحل‌ها
حمام‌های ترکی
استادیوم‌ها
تفریحات زمستانه

فرهنگ و هنر 
سینماها
سالن‌های اجرای زنده
کتاب‌فروشی‌ها
گالری‌ها و مراکز هنری

حمل و نقل 
استانبول کارت
مترو
تراموا
اتوبوس
تاکسی
دلموش
فری
دوچرخه
اجاره ماشین
قوانین رانندگی

سلامت و درمان 
سلامت در سفر
مراکز درمانی

باید بدانید!
قوانین مهم و ضروری 
لغات و کلمات پرکاربرد
شماره تماس‌های ضروری 

ضمیمه
نقشه‌ها
                                                                    ",گردشگری,https://newcdn.fidibo.com/images/books/105744_61692_normal.jpg
19,مسائل جنسی و زناشویی,"
 
                                                                                            
لطفعلی پورکاظمی ",None,"۱۲,۵۰۰ ", ناهید,None,۱۳۸۷/۱۰/۱۵, فارسی," 1.66 
                        "," ۲۸۸ 
                            ",978-964-6205-75-8,آگاهی و آشنایی با امور جنسی سبب ایجاد رفتارهای درست جنسی می‌شود که بسیار ضروری و پراهمیت در جامعه است. کتاب «مسائل جنسی و زناشویی» اثر «لطفعلی پورکاظمی» یک راهنمای کامل و جامع برای دانستنی‌های جنسی و تغذیه‌ای است، این اثر کمک خوبی برای داشتن یک زندگی سالم و راهنمایی خوب برای آموزش درست جنسی به نوجوانان است.,خانواده,https://newcdn.fidibo.com/images/books/3075_43973_normal.jpg
20,چه کسی پنیر مرا جابجا کرد,اسپنسر جانسون,عطیه رفیعی,"۱۴,۰۰۰ ", لیوسا,None,۱۳۸۹/۱۰/۱۵, فارسی," 0.41 
                        "," ۸۸ 
                            ",978-964-5634-28-3,جهان اطراف ما همواره در حال تغییر است و در دوره‌ی نوجوانی برخورد با این تغییرات بسیار بیشتر از دوران بزرگسالی است. نکته مهم اما نحوه برخورد با تغییرات است. کتاب چه کسی پنیر مرا جابجا کرد؟ کتابی بسیار سودمند برای افزایش مهارت نوجوانان در برابر تغییرات زندگی است. با خواندن داستان کتاب یاد می‌گیریم که چگونه مسائل مختلف را بیش از حد جدی و سخت نگیریم و چگونه خود را سریع‌تر با تغییرات وفق دهیم و در نهایت بهترین تصمیم ممکن را بگیریم تا هر تغییری در نهایت به سود ما تمام شود.,سبک زندگی,https://newcdn.fidibo.com/images/books/6762_96458_normal.jpg
21,دختران و اعتماد به نفس,لوری زلینگر,روژین شاملو,"۲۲,۰۰۰ ", گام," ۴۰,۰۰۰ ",۱۳۹۳/۱۰/۱۵, فارسی," 17.53 
                        "," ۹۷ 
                            ",978-964-2855-87-2,"
                                    (نسخه PDF)
در این کتاب شما متوجه تفاوت دیدگاه افرادی که حرمت نفس بالا دارند و افرادی که حرمت نفس پایین دارند می شوید.
شما یاد می گیرید اگر حرمت نفس پایینی دارید،        چگونه آن را تقویت و حفظ کنید...                                                                    ",سبک زندگی,https://newcdn.fidibo.com/images/books/6253_20287_normal.jpg
22,راز شاد زیستن,اندرو متیوس,وحید افضلی‌راد,"۷,۵۰۰ ", نیریز," ۱۵,۰۰۰ ",۱۳۹۵/۰۱/۱۵, فارسی," 0.95 
                        "," ۱۵۰ 
                            ",964-91538-10,برای حرکت رو به جلو در زندگی، نیاز داریم تا نقطه‌‌ای را به عنوان نقطه‌ی شروع در نظر بگیریم. وقتی در این حرکت با موانع مختلف مواجه می‎‌شویم، دانستن قدم بعدی به خروج از وضعیت کمک می‌کند. اما اغلب در شرایط دشوار زندگی احساس تنهایی می‌کنیم. احساس می‌کنیم فلج شده‌ایم و هجوم افکار منفی قدرت حرکت‌مان را گرفته است. خواندن کتابی که مقابله با این شرایط را توضیح دهد، می‌تواند گزینه‌ی خوبی  برای یافتن راه‌حل در زندگی‌مان باشد.,سبک زندگی,https://newcdn.fidibo.com/images/books/64056_97391_normal.jpg
23,,پل ژاگو,حسین بنی احمد,"۱۶,۰۰۰ ", ی ققنوس," ۲۲,۰۰۰ ",۱۳۹۱/۱۰/۱۵, فارسی," 0.99 
                        "," ۱۲۸ 
                            ",978-964-311-119-9,کتاب غلبه بر کمرویی نوشته‌ی پل ژاگو نویسنده‌ی فرانسوی با هدف اعتماد به نفس دادن و جرئت دادن به افراد کمرو، این فرصت را به آن‌ها می‌دهد تا مطمئن، استوار و پرجرئت باشند. این کتاب در دسته‌ی کتاب‌های روانشناسی است که راه و رسم زندگی را به مخاطبان خود می‌آموزد. نویسنده در ده فصل، تمام نکات از جمله علت‌های کمرویی و راه‌های تقویت اعتماد به نفس و غلبه بر کمرویی را بیان می‌کند. یکی از نکات قابل توجه در کتاب غلبه بر کمرویی مختصر بودن آن است. این کتاب 128 صفحه دارد و در ایران با ترجمه‌ی حسین بنی احمد از سوی انتشارات ققنوس منتشر شده است.,سبک زندگی,https://newcdn.fidibo.com/images/books/5915_29759_normal.jpg
24,دگرگونی و تحول روح,باربارا دی آنجلیس,منیژه جلالی,"۱۳,۲۰۰ ", البرز," ۲۲,۰۰۰ ",۱۳۹۵/۰۱/۱۵, فارسی," 2.52 
                        "," ۴۰۰ 
                            ",978-964-442-936-1,«دگرگونی و تحول روح» گنجینه‌ی کم‌یابی از حکمت، نمادها و داستان‌های فرهنگ‌ها و مذاهب مختلف است. بخش زیادی از این آموزه‌ها، بازتابی از افکار و مکاتب شرقی و به طور خاص، هندی هستند. آموزش‌های این کتاب جهانی هستند و هیچ مکتب فردی و شخصی در آن دیده نمی‌شود. پس به «باربارا دی آنجلیس» اعتماد کنید، پای حرف‌هایش بنشینید و مراحل رشد و بالندگی را قدم به قدم با او طی کنید. ,عرفان,https://newcdn.fidibo.com/images/books/6928_62888_normal.jpg
25,تربیت بدون فریاد,هال ادوارد رانکل,اکرم کرمی,"۳۰,۰۰۰ ", صابرین," ۷۵,۰۰۰ ",۱۳۹۵/۱۰/۱۵, فارسی," 1.38 
                        "," ۲۱۵ 
                            ",987-964-2785-27-8,بعضی از والدین زمانی که می‌خواهند کودک را از کاری منع کنند مدام با داد و فریاد کردن بر سر فرزندشان سعی می‌کنند حرفشان را به آن‌ها گوشزد کنند. اما والدینی که مرتبا از این روش برای نصیحت و تنبیه کودکشان استفاده کرده‌اند، اعلام کردند که  این روش دیگر موثر نیست چون باعث شرطی شدن کودک آن‌ها شده است، پس سوالی که ذهن این والدین را مشغول کرد این بود که حالا چه کار کنیم تا کودک به حرف های ما توجه کند. ,خانواده,https://newcdn.fidibo.com/images/books/71651_14612_normal.jpg
26,آن هنگام که نفس هوا می‌شود,پال کالانیتی,شکیبا محب‌علی,"۶,۰۰۰ ", کتاب کوله‌پشتی," ۱۴,۰۰۰ ",۱۳۹۵/۰۵/۰۱, فارسی," 1.82 
                        "," ۲۰۰ 
                            ",978-600-8211-22-8, ,سلامت و رژیم درمانی,https://newcdn.fidibo.com/images/books/7170_28291_normal.jpg
